decade,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1900s,0.659,0.791,2.0,-4.895,1.0,0.0295,0.139,0.0,0.161,0.956,141.999,4.0
1920s,0.6283,0.2491,4.7005,-16.4116,0.7286,0.3922,0.9125,0.3535,0.2087,0.6526,109.8833,3.7106
1930s,0.5458,0.2888,5.0854,-14.373,0.7115,0.2366,0.871,0.2803,0.2389,0.5913,110.0899,3.7304
1940s,0.5093,0.2871,5.2925,-12.7635,0.6849,0.1198,0.9194,0.3724,0.2218,0.5903,106.3141,3.7303
1950s,0.5029,0.3188,5.0934,-13.7081,0.6942,0.1034,0.8398,0.2273,0.211,0.5404,111.8204,3.7899
1960s,0.5056,0.4276,5.0832,-11.9347,0.7133,0.0755,0.674,0.1348,0.2192,0.5869,114.6778,3.8036
1970s,0.5225,0.5035,5.1458,-11.3565,0.6863,0.1079,0.5109,0.0947,0.2288,0.5808,117.0455,3.8471
1980s,0.5609,0.5471,5.1646,-11.3142,0.6652,0.1358,0.4141,0.0794,0.2281,0.5757,118.5206,3.8642
1990s,0.5722,0.5719,5.2481,-10.3329,0.6622,0.0967,0.3671,0.0704,0.2159,0.5667,119.5252,3.8876
2000s,0.5902,0.6485,5.3111,-7.5469,0.6409,0.0798,0.3132,0.0553,0.2104,0.5629,121.3851,3.9242
2010s,0.6089,0.6586,5.342,-7.2883,0.603,0.091,0.2873,0.0901,0.2057,0.5128,122.0546,3.9313
2020s,0.6616,0.6329,5.2952,-7.6471,0.5496,0.1179,0.2739,0.1151,0.1866,0.5031,121.8657,3.9482
